,precision,recall,f1-score,support
0,0.9900332225913622,0.9900332225913622,0.9900332225913622,301.0
1,1.0,0.9961389961389961,0.9980657640232108,259.0
2,0.9947089947089947,0.9947089947089947,0.9947089947089947,189.0
3,0.9878419452887538,0.9938837920489296,0.9908536585365854,327.0
4,0.9930313588850174,0.9930313588850174,0.9930313588850174,287.0
5,0.963302752293578,0.967741935483871,0.9655172413793104,217.0
6,0.9968354430379747,0.9905660377358491,0.9936908517350158,318.0
7,0.9571984435797666,0.9723320158102767,0.9647058823529412,253.0
8,0.984984984984985,0.9939393939393939,0.9894419306184012,330.0
9,0.9857651245551602,0.9618055555555556,0.9736379613356766,288.0
10,1.0,0.9765886287625418,0.988155668358714,299.0
11,0.9965635738831615,0.9931506849315068,0.9948542024013722,292.0
12,0.9540983606557377,0.9831081081081081,0.9683860232945092,296.0
13,0.9871794871794872,0.9808917197452229,0.9840255591054313,314.0
14,0.9929577464788732,0.9690721649484536,0.9808695652173913,291.0
15,0.9909365558912386,0.9909365558912386,0.9909365558912386,331.0
16,0.9637681159420289,0.9888475836431226,0.9761467889908257,269.0
17,0.9818181818181818,0.9854014598540146,0.9836065573770492,274.0
accuracy,0.9848101265822785,0.9848101265822785,0.9848101265822785,0.9848101265822785
macro avg,0.9845013495430166,0.9845654560434696,0.9844815437112803,5135.0
weighted avg,0.984961604268763,0.9848101265822785,0.984833545567946,5135.0
